0,10.6296,4.22186,10.1182,6.37379,17.5942,11.6038,16.9921,5.66764,6.32262,17.2968,0
10.6296,0,10.0564,8.98849,4.36724,6.9646,0.974193,12.0366,6.86687,16.9522,18.5732,10.6296
4.22186,10.0564,0,5.89631,5.80063,17.021,11.0306,12.7702,3.18957,6.89579,13.0749,4.22186
10.1182,8.98849,5.89631,0,9.52997,15.9531,9.96268,6.87389,4.45053,7.96374,9.58476,10.1182
6.37379,4.36724,5.80063,9.52997,0,11.2204,5.23001,16.4039,5.07944,12.6964,16.7086,6.37379
17.5942,6.9646,17.021,15.9531,11.2204,0,7.11086,18.09,13.8315,23.9168,25.5378,17.5942
11.6038,0.974193,11.0306,9.96268,5.23001,7.11086,0,12.3762,7.84106,17.9264,19.5474,11.6038
16.9921,12.0366,12.7702,6.87389,16.4039,18.09,12.3762,0,11.3244,10.6938,7.44782,16.9921
5.66764,6.86687,3.18957,4.45053,5.07944,13.8315,7.84106,11.3244,0,10.0854,11.7064,5.66764
6.32262,16.9522,6.89579,7.96374,12.6964,23.9168,17.9264,10.6938,10.0854,0,10.9985,6.32262
17.2968,18.5732,13.0749,9.58476,16.7086,25.5378,19.5474,7.44782,11.7064,10.9985,0,17.2968
0,0,0,0,0,0,0,0,0,0,0,0
