0,3.22384,4.24038,4.08562,4.53994,1.35931,4.84683,6.24428,8.05069,9.56271,11.3112,0
3.22384,0,3.76879,5.32751,5.53899,1.86896,6.46253,9.21137,8.65673,10.4219,12.5359,3.22384
4.24038,3.76879,0,2.4415,2.33363,3.80407,3.58142,7.72736,4.92163,6.7164,8.91551,4.24038
4.08562,5.32751,2.4415,0,0.52331,4.44608,1.18904,5.41742,3.97733,5.49029,7.36689,4.08562
4.53994,5.53899,2.33363,0.52331,0,4.80427,1.28114,5.77227,3.51093,5.08579,7.04446,4.53994
1.35931,1.86896,3.80407,4.44608,4.80427,0,5.42579,7.50054,8.23976,9.88602,11.8124,1.35931
4.84683,6.46253,3.58142,1.18904,1.28114,5.42579,0,4.61667,3.59005,4.81756,6.4645,4.84683
6.24428,9.21137,7.72736,5.41742,5.77227,7.50054,4.61667,0,7.52808,7.91756,8.38067,6.24428
8.05069,8.65673,4.92163,3.97733,3.51093,8.23976,3.59005,7.52808,0,1.81893,4.1278,8.05069
9.56271,10.4219,6.7164,5.49029,5.08579,9.88602,4.81756,7.91756,1.81893,0,2.3475,9.56271
11.3112,12.5359,8.91551,7.36689,7.04446,11.8124,6.4645,8.38067,4.1278,2.3475,0,11.3112
0,0,0,0,0,0,0,0,0,0,0,0
