0,1.968,16.105,15.8325,13.6187,9.38266,10.827,18.0175,17.2045,22.8386,24.7509,0
1.968,0,17.9503,17.7252,15.2612,10.7362,11.8846,18.7414,18.0313,24.6559,26.4276,1.968
16.105,17.9503,0,1.33076,14.3871,15.983,18.3293,24.7499,23.4886,16.1543,20.1604,16.105
15.8325,17.7252,1.33076,0,13.174,15.0181,17.33,23.5973,22.3312,14.8683,18.8489,15.8325
13.6187,15.2612,14.3871,13.174,0,5.17631,6.1617,10.5522,9.27688,9.94654,11.1707,13.6187
9.38266,10.7362,15.983,15.0181,5.17631,0,2.41535,9.80002,8.70897,15.1226,16.0921,9.38266
10.827,11.8846,18.3293,17.33,6.1617,2.41535,0,7.55423,6.55226,15.8326,16.1631,10.827
18.0175,18.7414,24.7499,23.5973,10.5522,9.80002,7.55423,0,1.27531,17.1302,15.4824,18.0175
17.2045,18.0313,23.4886,22.3312,9.27688,8.70897,6.55226,1.27531,0,16.0653,14.6278,17.2045
22.8386,24.6559,16.1543,14.8683,9.94654,15.1226,15.8326,17.1302,16.0653,0,4.28612,22.8386
24.7509,26.4276,20.1604,18.8489,11.1707,16.0921,16.1631,15.4824,14.6278,4.28612,0,24.7509
0,0,0,0,0,0,0,0,0,0,0,0
